,name,salary,city,exprience,eduction
0,Python开发工程师,20k-40k ,北京,经验3-5年,大专及以上
1,python开发工程师,15k-20k ,北京,经验3-5年,本科及以上
2,python开发工程师,12k-16k ,北京,经验3-5年,本科及以上
3,python开发工程师,15k-30k ,北京,经验3-5年,本科及以上
4,python开发工程师,15k-20k ,北京,经验3-5年,本科及以上
5,Python开发工程师,20k-30k ,北京,经验3-5年,本科及以上
6,高级 Python 工程师,25k-35k·14薪 ,北京,经验5-10年,本科及以上
7,python工程师,8k-10k ,北京,经验1-3年,本科及以上
8,Python工程师,20k-30k ,北京,经验3-5年,本科及以上
9,python开发工程师,10k-20k ,北京,经验1-3年,本科及以上
10,python开发工程师,13k-25k ,北京,经验3-5年,本科及以上
11,python开发工程师,10k-20k ,北京,经验1-3年,本科及以上
12,python开发工程师,10k-20k ,北京,经验1-3年,本科及以上
13,Python,15k-30k ,北京,经验3-5年,本科及以上
14,Python开发工程师,20k-40k ,北京,经验3-5年,本科及以上
15,python（web）,15k-25k ,北京,经验3-5年,大专及以上
16,Python 工程师（运维方向）,15k-25k·14薪 ,北京,经验1-3年,本科及以上
17,Python开发工程师,10k-15k ,北京,经验3-5年,大专及以上
18,python开发工程师,18k-25k ,北京,经验3-5年,本科及以上
19,python,10k-18k ,北京,经验3-5年,大专及以上
20,python开发工程师,8k-12k ,北京,经验1-3年,本科及以上
21,Python开发工程师,15k-22k ,北京,经验3-5年,本科及以上
22,Python开发工程师,20k-30k ,北京,经验1-3年,本科及以上
23,python开发工程师,8k-12k ,北京,经验3-5年,本科及以上
24,python开发工程师,12k-16k ,北京,经验3-5年,本科及以上
25,Python工程师,13k-20k ,北京,经验3-5年,本科及以上
26,python,4k-8k ,北京,经验不限,大专及以上
27,python开发工程师,13k-16k ,北京,经验1-3年,本科及以上
28,python开发工程师,20k-35k ,北京,经验1-3年,本科及以上
29,Python开发工程师,9k-14k ,北京,经验1-3年,本科及以上
30,Python开发,15k-20k ,北京,经验3-5年,本科及以上
31,python开发工程师,14k-18k ,北京,经验1-3年,本科及以上
32,Python开发工程师,20k-30k ,北京,经验3-5年,本科及以上
33,python开发工程师,8k-15k ,北京,经验1-3年,学历不限
34,Python工程师,13k-20k ,北京,经验3-5年,本科及以上
35,python开发工程师,10k-17k ,北京,经验3-5年,本科及以上
36,Python开发工程师,12k-20k ,北京,经验1-3年,本科及以上
37,python开发工程师,12k-20k ,北京,经验3-5年,本科及以上
38,Python开发工程师,15k-25k ,北京,经验3-5年,大专及以上
39,Python开发工程师,8k-15k ,北京,经验不限,学历不限
40,python开发工程师,12k-17k ,北京,经验3-5年,本科及以上
41,python开发工程师,15k-20k·13薪 ,北京,经验3-5年,本科及以上
42,python开发工程师,9k-13k ,北京,经验1-3年,大专及以上
43,python,10k-15k ,北京,经验3-5年,本科及以上
44,python开发工程师,7k-10k ,北京,经验1-3年,本科及以上
45,python,16k-25k ,北京,经验3-5年,本科及以上
46,Python工程师,20k-40k ,北京,经验3-5年,本科及以上
47,python开发工程师,10k-12k·14薪 ,北京,经验1-3年,本科及以上
48,Python开发工程师,15k-25k ,北京,经验3-5年,本科及以上
49,python开发,15k-17k ,北京,经验1-3年,本科及以上
50,高级python工程师(J11346),20k-30k ,北京,经验3-5年,本科及以上
51,Python大数据开发实习生（20...,6k-8k ,北京,经验应届毕业生,本科及以上
52,python开发工程师,20k-40k ,北京,经验3-5年,本科及以上
53,Python工程师,15k-30k ,北京,经验1-3年,本科及以上
54,python工程师,14k-28k ,北京,经验不限,硕士及以上
55,python开发工程师,20k-30k ,北京,经验3-5年,大专及以上
56,python开发,20k-40k ,北京,经验3-5年,本科及以上
57,Python开发,15k-25k ,北京,经验3-5年,本科及以上
58,python开发,12k-24k ,北京,经验不限,本科及以上
59,Python开发工程师,18k-35k ,北京,经验3-5年,本科及以上
60,python工程师,6k-12k ,北京,经验不限,本科及以上
61,python开发工程师,9k-15k ,北京,经验1-3年,本科及以上
62,Python开发工程师,25k-40k ,北京,经验3-5年,本科及以上
63,python开发工程师,15k-19k ,北京,经验3-5年,硕士及以上
64,python开发工程师/GO开发工...,15k-30k·15薪 ,北京,经验1-3年,本科及以上
65,python开发工程师,15k-25k·14薪 ,北京,经验3-5年,本科及以上
66,python工程师,15k-25k ,北京,经验3-5年,大专及以上
67,Python开发工程师,12k-20k ,北京,经验1-3年,本科及以上
68,Python工程师,15k-25k ,北京,经验3-5年,本科及以上
69,Python工程师,15k-25k ,北京,经验3-5年,本科及以上
70,Python开发工程师,10k-20k ,北京,经验3-5年,本科及以上
71,Python开发工程师,15k-25k ,北京,经验3-5年,本科及以上
72,python开发工程师,10k-20k ,北京,经验3-5年,本科及以上
73,python开发工程师,8k-12k ,北京,经验1-3年,本科及以上
74,Python开发工程师,6k-10k ,北京,经验3-5年,本科及以上
75,python开发,6k-8k ,北京,经验1-3年,本科及以上
76,python开发,10k-20k ,北京,经验3-5年,学历不限
77,Python开发工程师,14k-17k ,北京,经验1-3年,本科及以上
78,高级Python爬虫工程师,10k-20k ,北京,经验3-5年,本科及以上
79,Python Web开发工程师,15k-20k ,北京,经验3-5年,大专及以上
80,python开发工程师,15k-30k ,北京,经验不限,本科及以上
81,Python,10k-20k ,北京,经验3-5年,本科及以上
82,高级Python工程师,10k-20k ,北京,经验3-5年,本科及以上
83,python开发工程师,18k-36k ,北京,经验5-10年,本科及以上
84,Python高级开发工程师 （自...,20k-30k·14薪 ,北京,经验3-5年,本科及以上
85,python爬虫工程师,6k-10k ,北京,经验1-3年,本科及以上
86,高级python开发工程师,16k-20k·13薪 ,北京,经验3-5年,本科及以上
87,高级后端开发工程师（python),20k-40k ,北京,经验5-10年,本科及以上
88,高级Python工程师,15k-25k ,北京,经验3-5年,本科及以上
89,Python开发工程师,20k-40k ,北京,经验5-10年,本科及以上
90,Python高级开发工程师,15k-30k ,北京,经验5-10年,本科及以上
91,python后端工程师,15k-30k ,北京,经验不限,本科及以上
92,后台Python高级工程师,10k-15k ,北京,经验3-5年,本科及以上
93,高级python开发工程师,25k-45k ,北京,经验5-10年,本科及以上
94,技术经理（python),18k-30k ,北京,经验3-5年,本科及以上
95,Python开发工程师,10k-15k ,北京,经验1-3年,本科及以上
96,python研发工程师,20k-30k·15薪 ,北京,经验3-5年,本科及以上
97,Python开发工程师-安全方向,20k-40k ,北京,经验1-3年,本科及以上
98,Python开发工程师-财务报表...,20k-40k ,北京,经验3-5年,本科及以上
99,PTBU-后端开发工程师（python),20k-35k ,北京,经验3-5年,本科及以上
100,Python爬虫工程师,8k-15k ,北京,经验1-3年,本科及以上
101,Python后端开发工程师,15k-25k·13薪 ,北京,经验3-5年,大专及以上
102,高级Python开发工程师,20k-40k ,北京,经验3-5年,本科及以上
103,Python后端开发工程师,15k-30k ,北京,经验3-5年,本科及以上
104,Python（极验验证）,9k-18k ,北京,经验3-5年,学历不限
105,Python后端工程师,18k-25k ,北京,经验3-5年,本科及以上
106,Python开发主管,25k-30k ,北京,经验5-10年,本科及以上
107,python算法工程师,18k-36k ,北京,经验3-5年,本科及以上
108,python开发工程师G00345,20k-40k ,北京,经验不限,本科及以上
109,python开发实习生G00328,3k-6k ,北京,经验不限,本科及以上
110,python后台开发工程师,15k-20k ,北京,经验1-3年,本科及以上
111,Python运维开发工程师,12k-20k ,北京,经验3-5年,本科及以上
112,python爬虫工程师,8k-15k ,北京,经验1-3年,本科及以上
113,技术总监（Python）,20k-40k ,北京,经验3-5年,本科及以上
114,Python后端,10k-15k ,北京,经验1-3年,本科及以上
115,Python测试开发工程师（偏开发）,10k-20k ,北京,经验3-5年,本科及以上
116,Python高级开发工程师,20k-40k ,北京,经验5-10年,本科及以上
117,python爬虫,12k-20k ,上海,经验1-3年,本科及以上
118,高级python,20k-35k ,上海,经验5-10年,本科及以上
119,python后端开发工程师,15k-30k ,上海,经验3-5年,本科及以上
120,Python 高级开发工程师,25k-50k ,上海,经验5-10年,学历不限
121,后端开发工程师（python),15k-30k ,上海,经验1-3年,本科及以上
122,Python 服务端研发工程师,12k-20k ,上海,经验不限,本科及以上
123,Python讲师,15k-25k ,上海,经验1-3年,本科及以上
124,python后端开发工程师,15k-30k ,上海,经验3-5年,本科及以上
125,Python前端,9k-11k ,上海,经验3-5年,本科及以上
126,Python资深开发工程师,13k-26k ,上海,经验3-5年,本科及以上
127,Python 工程师（数据平台方向）,10k-20k ,上海,经验1-3年,本科及以上
128,Python爬虫工程师,10k-18k ,上海,经验不限,本科及以上
129,python爬虫工程师,13k-25k ,上海,经验3-5年,本科及以上
130,高级Python研发工程师,15k-30k ,上海,经验5-10年,本科及以上
131,Python开发工程师经理,15k-30k ,上海,经验5-10年,本科及以上
132,python爬虫工程师,8k-15k·14薪 ,上海,经验不限,学历不限
133,python后端工程师,14k-20k ,上海,经验3-5年,本科及以上
134,PYTHON开发工程师 SH,15k-30k ,上海,经验1-3年,本科及以上
135,PYTHON开发工程师 资深SH,20k-36k ,上海,经验3-5年,本科及以上
136,核心客户端开发工程师【Python】,10k-20k ,上海,经验1-3年,本科及以上
137,游戏客户端开发（python）,8k-16k ,上海,经验不限,本科及以上
138,Python开发工程师---0401,15k-25k ,上海,经验3-5年,本科及以上
139,python（web）,15k-25k ,上海,经验3-5年,大专及以上
140,Python高级工程师,13k-26k ,上海,经验5-10年,学历不限
141,产品工程师-Python,15k-30k ,上海,经验1-3年,本科及以上
142,广告平台开发工程师（Python...,15k-30k ,上海,经验1-3年,本科及以上
143,少儿编程讲师（python\java\...,10k-15k ,上海,经验不限,本科及以上
144,少儿编程老师-python.java.c++,7k-12k ,上海,经验不限,本科及以上
145,DSQ-Python后端开发工程师,18k-35k ,上海,经验3-5年,本科及以上
146,Python开发人员,6k-10k ,上海,经验3-5年,本科及以上
147,Python 后端开发工程师,15k-30k ,上海,经验5-10年,本科及以上
148,课程设计（python）,9k-14k ,上海,经验1-3年,本科及以上
149,研发工程师（java/python/go...,9k-18k ,上海,经验3-5年,本科及以上
150,大数据开发工程师（python）,30k-35k ,上海,经验3-5年,本科及以上
151,Python 后端开发（北京）,18k-36k ,上海,经验1-3年,本科及以上
152,python研发工程师（云平台后端）,20k-40k ,上海,经验3-5年,学历不限
153,Python课程内容编辑,8k-15k ,上海,经验不限,学历不限
154,Python答疑老师,5k-9k ,上海,经验不限,学历不限
155,高级python工程师,15k-25k ,上海,经验5-10年,本科及以上
156,运维开发专家（Python）,25k-45k·14薪 ,上海,经验5-10年,本科及以上
157,大数据开发工程师 （python...,15k-30k ,上海,经验3-5年,本科及以上
158,Python后端开发工程师,15k-30k ,上海,经验3-5年,本科及以上
159,Python游戏研发,15k-30k ,上海,经验3-5年,本科及以上
160,Python高级开发工程师,10k-18k ,上海,经验3-5年,本科及以上
161,Python后端开发,13k-18k ,上海,经验1-3年,本科及以上
162,python开发工程师-上海,18k-25k ,上海,经验3-5年,本科及以上
163,技术经理（python),20k-33k ,上海,经验5-10年,本科及以上
164,研发经理（Python）,20k-35k ,上海,经验5-10年,大专及以上
165,python讲师,20k-30k ,上海,经验3-5年,本科及以上
166,python攻城狮,9k-15k ,上海,经验1-3年,本科及以上
167,Web全栈工程师（python）,12k-18k ,上海,经验1-3年,学历不限
168,python爬虫工程师,12k-18k ,上海,经验1-3年,本科及以上
169,python爬虫工程师,17k-23k ,上海,经验3-5年,学历不限
170,高级python开发工程师,10k-14k ,上海,经验3-5年,大专及以上
171,高级python开发工程师,10k-14k ,上海,经验3-5年,学历不限
172,Python爬虫工程师,20k-35k ,上海,经验3-5年,本科及以上
173,python后端开发工程师,8k-16k ,上海,经验1-3年,本科及以上
174,python后端开发工程师,13k-20k ,上海,经验3-5年,本科及以上
175,大数据开发工程师（Python）,15k-20k ,上海,经验1-3年,本科及以上
176,python视频后台工程师,20k-30k ,上海,经验3-5年,本科及以上
177,Python开发工程师（CBB）(J12...,12k-18k ,上海,经验1-3年,本科及以上
178,高级Python工程师,25k-40k ,上海,经验5-10年,本科及以上
179,高级Python经理,28k-40k ,上海,经验5-10年,本科及以上
180,python数据分析,10k-15k ,上海,经验3-5年,本科及以上
181,高级Python后端工程师,15k-25k ,上海,经验3-5年,本科及以上
182,Python高级开发工程师,15k-25k ,上海,经验1-3年,本科及以上
183,编程猫少儿编程教师（Python...,8k-15k ,上海,经验不限,本科及以上
184,Python助教,6k-12k ,上海,经验1-3年,本科及以上
185,Python讲师,10k-20k ,上海,经验1-3年,大专及以上
186,资深Python开发工程师,15k-25k ,上海,经验3-5年,本科及以上
187,Python高级开发工程师,15k-26k ,上海,经验3-5年,本科及以上
188,python教研实习生,4k-6k ,上海,经验不限,本科及以上
189,测评题目编辑（Python方向）,8k-16k ,上海,经验1-3年,本科及以上
190,高级Python开发,20k-40k ,上海,经验3-5年,本科及以上
191,数据分析师（Python）,8k-12k ,上海,经验1-3年,本科及以上
192,Python后端开发工程师,20k-40k ,上海,经验3-5年,本科及以上
193,Python开发工程师---0201,15k-25k ,上海,经验3-5年,本科及以上
194,Python后台开发工程师,15k-30k ,上海,经验3-5年,本科及以上
195,高级Python开发工程师,7k-10k ,上海,经验1-3年,本科及以上
196,python爬虫,14k-21k ,上海,经验3-5年,本科及以上
197,Python后端高级开发工程师,15k-25k ,上海,经验3-5年,本科及以上
198,python爬虫工程师,10k-15k ,上海,经验1-3年,本科及以上
199,Python研发工程师（高级）,20k-40k ,上海,经验5-10年,本科及以上
200,python爬虫工程师,7k-11k ,上海,经验1-3年,学历不限
201,Python教学导师(J12894),15k-25k ,上海,经验3-5年,大专及以上
202,python,18k-35k ,上海,经验3-5年,本科及以上
203,Python爬虫工程师,10k-20k ,上海,经验3-5年,本科及以上
204,高级Python开发工程师,15k-30k ,上海,经验3-5年,本科及以上
205,高级Python后端开发工程师,13k-18k ,上海,经验3-5年,本科及以上
206,Python开发工程师,15k-25k ,上海,经验3-5年,本科及以上
207,Python服务端开发工程师 - ...,20k-40k ,上海,经验1-3年,本科及以上
208,初级python（保险业务线）,10k-15k·14薪 ,上海,经验1-3年,本科及以上
209,python开发工程师,16k-22k ,上海,经验3-5年,本科及以上
210,Python后端高级开发工程师-...,20k-40k ,上海,经验1-3年,本科及以上
211,Python开发工程师（研发效率...,25k-50k ,上海,经验3-5年,本科及以上
212,python开发工程师,20k-40k ,上海,经验3-5年,本科及以上
213,python开发工程师,15k-30k ,上海,经验3-5年,本科及以上
214,Python开发工程师,10k-20k ,上海,经验1-3年,本科及以上
215,Python开发工程师,10k-20k ,上海,经验1-3年,本科及以上
216,python爬虫,10k-20k ,重庆,经验3-5年,本科及以上
217,Python工程师,8k-16k ,福建,经验1-3年,本科及以上
218,Python工程师,14k-28k ,福建,经验3-5年,学历不限
219,python实习,4k-6k ,广东,经验应届毕业生,本科及以上
